Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
21901592038,1,9212,1440.0,8,7,0,270000000,0,270000000,3,1401
21901592038,1,9314,41000.0,2,4,13000000,70000000,13000000,70000000,3,1401
21901592038,1,9214,1210.0,2,3,0,60000000,0,60000000,3,1401
21901592428,3,9214,1210.0,5,2,0,105000000,0,105000000,3,1401
21901592428,3,9211,1110.0,5,2,0,105000000,0,105000000,3,1401
21901592428,3,9314,41000.0,6,3,0,420000000,0,420000000,3,1401
21901592430,1,9214,1210.0,4,2,0,120000000,0,120000000,3,1401
21901592430,3,9211,1110.0,8,5,0,360000000,0,360000000,3,1401
21901592430,3,9314,41000.0,8,4,0,210000000,0,210000000,3,1401
21901592430,3,7233,13110.0,8,6,73267000,272134000,70000000,260000000,3,1401
21901592435,1,7111,41000.0,5,2,0,180000000,0,180000000,3,1401
21901592435,1,9314,41000.0,5,2,0,120000000,0,120000000,3,1401
21901592441,1,8183,13110.0,8,7,104670000,1177530000,100000000,1125000000,3,1401
21903592833,1,9314,41000.0,6,5,50000000,300000000,50000000,300000000,3,1401
21903592833,2,9211,1130.0,5,4,0,175000000,0,175000000,3,1401
21903592833,3,9214,1240.0,5,4,0,70000000,0,70000000,3,1401
21903592835,1,9211,1130.0,6,5,40000000,350000000,40000000,350000000,3,1401
21903592835,1,9314,41000.0,8,5,0,200000000,0,200000000,3,1401
21903592841,1,9211,1130.0,6,5,30000000,120000000,30000000,120000000,3,1401
21903592841,1,9314,41000.0,5,4,0,60000000,0,60000000,3,1401
21903593226,3,7537,14100.0,5,6,50000000,350000000,50000000,350000000,3,1401
21903593226,3,9211,1130.0,4,4,0,200000000,0,200000000,3,1401
21903593226,3,9314,41000.0,4,5,0,200000000,0,200000000,3,1401
21903593234,1,9314,41000.0,8,6,0,300000000,0,300000000,3,1401
21903593234,3,7537,14100.0,7,6,5000000,15000000,5000000,15000000,3,1401
21903593626,1,7123,43300.0,10,5,0,620000000,0,620000000,3,1401
21903593635,1,9314,41000.0,9,6,0,850000000,0,850000000,3,1401
