member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
2,1,1,64.5,1,0,6,4,3
3,2,1,42.0,2,0,9,1,1
4,1,3,51.75,2,0,6,0,2
1,0,1,61.0,0,0,6,1,3
4,2,2,27.25,3,1,0,1,1
2,1,1,53.5,1,0,6,1,3
3,1,2,42.666666666666664,2,0,6,1,3
4,2,2,19.25,4,2,3,3,1
2,1,1,66.5,1,0,3,1,1
6,1,5,18.666666666666668,5,3,3,3,2
4,3,1,44.0,2,0,6,4,1
2,1,1,59.0,0,0,6,4,1
1,1,0,55.0,1,0,3,4,1
3,1,2,27.333333333333332,3,1,2,4,1
3,1,2,20.666666666666668,2,0,9,4,1
3,1,2,36.666666666666664,3,1,3,4,1
4,2,2,27.25,4,2,2,3,1
4,3,1,23.5,3,1,9,4,1
5,2,3,28.0,5,3,9,3,2
4,3,1,41.5,4,0,5,4,1
3,1,2,53.0,2,0,3,0,1
1,0,1,69.0,0,0,6,1,3
2,1,1,34.5,2,0,9,1,0
3,2,1,47.666666666666664,2,1,6,1,1
4,2,2,28.5,4,2,2,3,1
3,2,1,40.0,3,1,9,5,1
2,1,1,76.5,0,0,6,4,1
3,2,1,33.0,3,1,9,4,1
4,3,1,47.75,2,0,6,5,1
3,2,1,47.666666666666664,2,0,3,4,1
4,2,2,33.5,3,0,2,4,1
4,2,2,24.25,4,2,3,3,1
3,2,1,61.333333333333336,1,0,6,1,1
5,4,1,32.6,5,2,3,5,2
4,2,2,25.0,4,2,3,3,1
4,2,2,15.0,2,0,9,5,1
4,3,1,35.75,4,1,0,4,1
6,1,5,25.0,6,2,3,0,2
2,1,1,53.0,1,0,3,4,1
1,0,1,92.0,0,0,6,1,3
3,1,2,27.666666666666668,3,1,9,4,1
3,1,2,22.0,2,0,3,4,1
4,3,1,31.25,3,1,9,4,1
5,3,2,37.0,3,2,6,4,1
3,2,1,38.333333333333336,1,0,6,2,1
3,2,1,47.333333333333336,3,1,9,1,1
2,1,1,46.5,2,0,3,4,1
3,2,1,35.0,2,0,3,1,2
3,1,2,43.0,3,1,3,1,1
2,1,1,54.0,1,0,3,4,1
3,1,2,56.333333333333336,1,0,6,4,1
4,3,1,36.25,3,0,3,1,2
1,0,1,90.0,0,0,6,1,3
3,1,2,54.0,2,0,3,0,1
4,2,2,47.0,3,0,3,0,1
2,1,1,68.0,0,0,6,4,1
3,1,2,28.333333333333332,3,1,3,4,1
2,0,2,67.5,0,0,6,1,0
4,1,3,65.0,1,0,6,0,1
4,2,2,30.25,4,1,3,4,1
3,1,2,41.0,3,1,3,4,1
2,1,1,75.0,0,0,6,1,1
4,2,2,24.0,4,2,3,3,1
4,3,1,31.0,4,2,3,3,1
1,0,1,44.0,1,0,3,1,2
4,3,1,24.25,3,1,3,4,1
4,3,1,47.0,2,0,6,4,1
4,2,2,22.75,4,2,3,3,1
3,1,2,20.333333333333332,2,0,3,4,1
1,0,1,65.0,0,0,6,0,3
3,2,1,36.666666666666664,3,1,3,1,1
3,1,2,35.0,2,1,3,4,1
2,1,1,72.0,0,0,6,2,1
4,2,2,30.25,4,2,3,3,1
5,2,3,27.8,5,3,9,3,2
2,1,1,55.0,1,0,6,1,1
3,2,1,50.666666666666664,2,0,3,4,1
3,2,1,39.666666666666664,3,0,3,4,1
3,2,1,51.666666666666664,2,0,3,4,1
2,1,1,61.0,1,0,3,4,1
3,2,1,30.0,3,1,3,5,1
1,0,1,80.0,1,0,7,1,3
3,2,1,58.0,2,0,3,1,3
2,1,1,67.5,1,0,3,4,1
5,2,3,23.0,4,1,3,5,2
2,0,2,27.5,2,1,3,5,1
4,2,2,35.75,3,0,3,0,1
1,0,1,91.0,0,0,6,1,3
2,1,1,71.5,0,0,6,4,1
3,2,1,53.0,1,0,6,4,1
5,3,2,20.4,5,3,9,3,2
4,3,1,31.0,4,1,3,4,1
3,2,1,16.333333333333332,2,0,9,4,1
1,0,1,67.0,0,0,6,1,3
1,0,1,73.0,0,0,6,1,3
3,1,2,62.333333333333336,1,0,6,0,1
3,1,2,12.333333333333334,2,1,9,1,2
5,1,4,19.6,4,2,3,3,2
3,1,2,55.666666666666664,1,0,6,0,1
4,2,2,17.0,3,1,3,1,2
2,1,1,54.0,1,0,3,4,1
4,1,3,29.75,4,1,3,0,1
4,2,2,40.0,2,0,6,4,1
4,3,1,29.25,4,2,3,4,1
2,1,1,60.5,1,0,3,4,1
2,1,1,70.5,0,0,6,1,1
1,0,1,60.0,0,0,6,1,3
3,1,2,30.0,3,1,3,4,1
3,1,2,26.0,2,1,6,1,2
2,1,1,54.0,2,0,3,4,1
2,1,1,53.0,1,0,3,5,1
4,1,3,23.0,3,1,3,4,1
4,1,3,25.75,3,1,3,4,1
3,2,1,36.333333333333336,3,1,3,4,1
3,1,2,52.333333333333336,1,0,6,4,1
5,4,1,23.6,4,2,4,3,2
6,2,4,24.166666666666668,6,4,3,3,2
4,2,2,40.25,4,0,9,4,1
4,2,2,24.25,4,2,2,3,1
2,0,2,25.0,2,1,3,0,3
2,1,1,57.5,2,0,3,4,1
5,3,2,18.8,4,2,3,3,2
2,0,2,47.0,1,0,6,1,3
2,1,1,49.0,2,0,3,4,1
2,1,1,67.5,0,0,6,1,1
4,2,2,45.75,3,0,3,4,1
2,1,1,70.5,0,0,6,4,3
1,1,0,36.0,1,0,3,4,2
4,2,2,25.5,3,1,2,4,1
1,0,1,78.0,1,0,3,2,3
4,3,1,32.5,4,1,3,4,1
1,1,0,49.0,1,0,3,4,1
2,1,1,82.5,0,0,6,1,1
1,0,1,65.0,0,0,6,1,3
2,1,1,67.5,0,0,6,4,1
2,1,1,47.0,1,0,3,4,2
1,0,1,80.0,0,0,6,1,3
1,0,1,60.0,0,0,6,1,3
3,1,2,26.333333333333332,3,1,9,1,2
2,1,1,48.5,2,0,9,4,1
2,1,1,55.0,2,0,3,4,1
2,1,1,57.0,2,0,3,4,1
4,2,2,26.5,4,2,3,3,1
2,1,1,61.0,0,0,6,4,1
2,1,1,58.5,2,0,1,1,1
1,0,1,57.0,1,0,3,1,2
1,0,1,59.0,1,0,3,1,3
5,3,2,33.8,5,1,3,0,1
3,2,1,46.666666666666664,3,0,9,4,1
3,1,2,22.333333333333332,2,0,1,4,1
1,0,1,80.0,0,0,6,1,3
3,2,1,38.0,2,1,6,1,3
1,0,1,84.0,0,0,6,1,3
4,2,2,43.0,4,0,2,4,1
3,2,1,60.666666666666664,1,0,6,1,1
2,1,1,69.5,1,0,6,2,1
1,0,1,90.0,0,0,6,1,3
3,2,1,44.0,3,0,3,4,1
2,1,1,63.5,0,0,6,4,1
2,1,1,49.0,2,0,2,4,1
3,0,3,60.666666666666664,2,0,9,4,2
2,1,1,77.5,2,0,3,4,1
1,0,1,59.0,1,0,3,1,3
3,1,2,49.666666666666664,3,0,9,0,1
2,1,1,77.5,1,0,3,1,1
4,2,2,25.25,4,2,9,3,1
2,1,1,69.5,2,0,3,1,1
2,1,1,82.5,1,0,7,1,1
3,2,1,48.333333333333336,1,0,6,2,1
3,2,1,31.333333333333332,3,1,3,4,1
2,1,1,55.5,2,0,9,1,1
3,1,2,41.333333333333336,3,1,3,1,1
4,3,1,34.75,4,1,3,1,1
2,1,1,62.0,2,0,9,1,1
3,1,2,28.666666666666668,2,0,5,4,1
2,1,1,70.5,0,0,6,4,1
2,1,1,43.0,2,0,9,4,1
5,2,3,18.0,4,2,9,3,2
3,1,2,63.0,2,0,3,1,1
1,0,1,74.0,0,0,6,1,3
5,2,3,17.8,4,2,3,3,2
2,1,1,61.0,1,0,3,1,1
3,1,2,61.666666666666664,1,0,6,1,1
2,1,1,40.5,2,0,9,4,2
1,0,1,45.0,1,0,3,1,2
3,2,1,42.333333333333336,3,1,2,1,1
2,1,1,48.5,2,0,9,4,1
3,2,1,46.0,3,0,9,1,1
7,5,2,22.857142857142858,5,1,3,4,2
1,0,1,65.0,0,0,6,1,1
3,2,1,41.0,3,0,3,4,1
4,3,1,26.75,3,1,2,4,1
2,1,1,50.0,2,0,9,4,1
3,2,1,51.666666666666664,3,0,3,1,1
2,1,1,70.0,2,0,3,1,1
3,2,1,45.0,3,0,9,1,1
4,3,1,42.25,4,0,3,4,1
3,1,2,61.0,2,0,3,4,1
3,2,1,49.0,3,0,2,1,1
2,1,1,57.5,2,0,3,4,1
3,1,2,21.666666666666668,2,0,0,4,1
4,2,2,18.25,2,0,2,5,1
4,2,2,24.5,4,2,5,3,1
2,1,1,34.0,2,0,9,4,1
2,1,1,61.0,1,0,3,4,1
3,1,2,24.333333333333332,3,1,2,4,1
4,1,3,34.0,4,1,2,4,1
4,1,3,29.25,4,1,2,0,1
4,2,2,41.25,3,0,2,4,2
4,2,2,21.5,4,2,3,3,1
2,1,1,64.5,0,0,6,4,1
3,2,1,40.0,3,1,9,4,1
4,1,3,26.75,4,2,9,3,1
4,2,2,23.75,4,2,3,3,1
4,3,1,44.75,2,0,6,1,1
2,1,1,61.5,0,0,6,4,1
4,3,1,16.25,2,0,6,5,1
3,2,1,19.333333333333332,2,0,9,4,1
2,1,1,75.0,2,0,3,4,1
3,2,1,60.333333333333336,1,0,6,4,1
4,3,1,33.25,3,1,3,2,1
3,2,1,52.666666666666664,3,0,9,1,1
4,1,3,18.5,3,1,2,5,1
5,3,2,36.2,5,1,3,5,2
3,2,1,59.0,3,0,3,4,1
5,3,2,34.4,5,1,2,4,2
4,2,2,31.5,4,2,1,3,1
2,1,1,92.0,1,0,7,1,1
2,1,1,60.5,2,0,2,1,1
2,1,1,42.5,1,0,6,0,3
5,2,3,17.0,2,0,6,5,2
4,2,2,21.75,3,1,9,4,1
4,3,1,29.0,4,0,3,1,1
2,1,1,64.0,0,0,6,1,1
3,1,2,56.666666666666664,1,0,6,0,1
4,1,3,33.25,3,1,0,0,2
3,2,1,45.0,3,0,3,4,1
4,3,1,21.0,4,2,3,3,1
2,1,1,70.0,0,0,6,1,1
6,3,3,35.833333333333336,5,0,2,4,1
3,1,2,30.333333333333332,3,1,3,4,1
3,2,1,43.333333333333336,2,1,3,4,1
2,1,1,59.0,1,1,6,1,3
4,1,3,31.5,4,1,9,0,1
3,1,2,32.333333333333336,3,1,3,4,1
4,3,1,35.25,3,1,2,4,1
4,2,2,25.5,4,2,0,3,1
3,2,1,55.333333333333336,1,0,6,1,1
4,2,2,24.5,3,1,9,4,1
5,1,4,41.8,4,0,3,5,2
4,1,3,28.75,4,2,3,3,1
2,1,1,59.5,2,0,3,4,1
3,1,2,23.666666666666668,3,1,3,4,1
3,2,1,37.0,3,1,3,4,1
4,3,1,25.0,3,1,9,4,1
3,1,2,41.666666666666664,2,0,3,0,1
3,2,1,41.666666666666664,2,0,6,4,1
4,1,3,32.25,4,2,3,3,1
5,2,3,21.4,4,2,3,3,2
2,1,1,55.0,2,0,9,4,1
4,1,3,31.0,4,2,9,3,1
4,3,1,27.25,4,1,3,4,1
4,3,1,26.25,3,1,3,4,1
3,0,3,55.333333333333336,2,0,6,0,2
