Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20002385932,4,1,3,33.75,1.0,0.0,2,0,1,22,2,4,4,120.0,3.0,4,1,1,3,4,4,7,1039084552.0,224200000.0
20002385935,3,1,2,49.66666666666666,0.3333333333333333,0.0,6,4,1,22,2,4,4,100.0,3.0,4,1,0,3,4,4,7,302109164.0,1301120000.0
20002386023,5,3,2,49.2,0.8,0.0,3,6,2,22,2,4,3,70.0,3.0,1,1,1,3,4,4,6,382448776.0,1334900000.0
20002386024,2,1,1,72.0,1.0,0.0,3,1,1,22,2,4,3,70.0,3.0,1,0,0,3,4,4,6,262090000.0,571720000.0
20002386027,2,1,1,61.5,0.5,0.0,3,1,1,22,2,4,3,80.0,3.0,4,0,0,3,4,4,5,62265000.0,470280000.0
20002386029,2,1,1,74.5,1.0,0.0,3,1,1,22,2,4,3,110.0,3.0,7,0,0,3,4,4,3,60420000.0,582920000.0
20002386032,1,1,0,44.0,1.0,0.0,3,6,2,22,2,4,4,100.0,3.0,7,0,0,3,4,4,2,18659388.0,12060000.0
20002386035,2,1,1,80.5,0.0,0.0,6,1,1,22,2,4,3,80.0,3.0,7,0,0,3,4,4,6,149340000.0,171280000.0
20002386120,2,1,1,63.0,0.0,0.0,6,4,1,22,2,4,3,65.0,3.0,1,0,0,3,4,4,6,169386776.0,506520000.0
20002386123,4,3,1,40.5,1.0,0.0,3,4,1,22,2,4,4,100.0,3.0,4,1,1,3,4,4,9,632882552.0,1464140000.0
20002386126,2,1,1,69.5,0.5,0.0,7,1,1,22,2,4,3,110.0,3.0,3,1,0,3,4,4,5,78455000.0,140480000.0
20002386130,4,2,2,17.75,0.75,0.25,3,4,1,22,2,4,3,45.0,3.0,4,0,1,3,4,4,7,237633552.0,287140000.0
20002386132,2,1,1,75.5,0.5,0.0,7,1,1,22,2,4,4,80.0,3.0,3,0,0,3,4,4,5,51168776.0,155720000.0
20002386135,4,2,2,18.0,0.5,0.0,6,5,1,22,2,4,2,80.0,3.0,3,1,1,3,4,4,9,432958000.0,471455000.0
20002386219,4,2,2,20.5,0.75,0.25,2,4,1,22,2,0,2,80.0,3.0,4,1,1,3,4,4,8,213186000.0,1147820000.0
20002386220,2,1,1,47.5,0.5,0.0,6,1,3,22,2,4,5,90.0,3.0,4,0,1,3,4,4,7,66549388.0,412480000.0
20002386226,2,1,1,53.0,1.0,0.0,2,1,1,22,2,4,4,100.0,3.0,4,1,0,3,4,4,10,228770000.0,480000000.0
20002386229,2,1,1,61.0,0.5,0.0,3,1,1,22,2,4,3,60.0,3.0,4,1,1,3,4,4,6,79070000.0,685720000.0
20002386232,1,0,1,80.0,0.0,0.0,6,1,3,22,2,0,4,80.0,3.0,4,0,0,3,4,4,2,10920000.0,89860000.0
20002386235,1,0,1,94.0,0.0,0.0,6,1,3,22,2,4,2,24.0,3.0,7,0,0,3,4,4,4,28060000.0,142060000.0
20002386319,1,0,1,80.0,0.0,0.0,6,1,3,22,2,4,3,70.0,3.0,7,0,0,3,4,4,5,12340388.0,58060000.0
20002386324,5,2,3,22.6,0.8,0.4,0,3,2,22,2,4,4,100.0,3.0,4,1,0,3,4,4,8,478810000.0,51900000.0
20002386327,5,2,3,32.0,0.6,0.0,6,0,1,22,2,4,3,70.0,3.0,4,0,1,3,4,4,7,47061940.0,309500000.0
20002386329,3,2,1,42.66666666666666,1.0,0.0,3,4,1,22,2,4,4,100.0,3.0,4,1,1,3,4,4,7,444490000.0,39180000.0
20002386332,2,1,1,59.5,0.5,0.0,3,4,1,22,2,4,3,90.0,3.0,4,0,1,3,4,4,6,206630000.0,89080000.0
20002386335,3,2,1,45.66666666666666,1.0,0.0,3,4,1,22,2,4,3,85.0,3.0,7,0,1,3,4,4,6,163259000.0,304220000.0
20002386421,2,1,1,86.5,0.0,0.0,6,1,1,22,2,4,3,60.0,3.0,3,0,0,3,4,4,5,11190000.0,40280000.0
20002386422,1,0,1,62.0,0.0,0.0,6,1,3,22,2,4,4,60.0,3.0,4,0,0,3,4,4,5,43700000.0,428860000.0
20002386426,3,1,2,28.0,1.0,0.3333333333333333,2,4,1,22,2,4,4,80.0,3.0,4,1,0,3,4,4,9,431150000.0,38740000.0
20002386429,4,1,3,53.0,0.25,0.0,6,0,1,22,2,4,3,70.0,3.0,3,0,0,3,4,4,3,17077552.0,64140000.0
20002386432,3,2,1,53.333333333333336,0.3333333333333333,0.0,6,4,1,22,2,4,3,70.0,3.0,3,0,1,3,4,4,3,186310000.0,70140000.0
20002386435,2,1,1,50.5,0.0,0.0,6,4,1,22,2,4,3,40.0,3.0,3,0,1,3,4,4,4,54270000.0,128420000.0
20003386520,3,2,1,52.0,0.3333333333333333,0.0,6,1,1,22,3,4,3,50.0,3.0,4,0,1,3,4,4,5,41243164.0,128180000.0
20003386522,2,1,1,78.5,0.0,0.0,6,1,1,22,3,4,3,60.0,3.0,4,0,0,3,4,4,6,25240000.0,133920000.0
20003386526,3,1,2,59.66666666666666,0.3333333333333333,0.0,6,0,1,22,3,4,4,60.0,3.0,1,0,0,3,4,4,8,43513164.0,352180000.0
20003386527,1,0,1,65.0,0.0,0.0,6,1,3,22,3,4,4,100.0,3.0,7,0,0,3,4,4,3,18444388.0,91260000.0
20003386532,3,2,1,71.66666666666667,0.3333333333333333,0.0,6,2,1,22,3,4,4,90.0,3.0,7,0,1,3,4,4,4,91118776.0,39180000.0
20003386535,4,2,2,34.75,0.75,0.25,3,4,1,22,3,4,3,70.0,3.0,4,0,1,3,4,4,5,103527552.0,308640000.0
20003386621,3,2,1,48.0,1.0,0.3333333333333333,9,1,1,22,3,4,3,50.0,3.0,7,1,0,3,4,4,5,67659000.0,324000000.0
20003386623,2,1,1,39.5,1.0,0.0,1,1,0,22,3,4,4,75.0,3.0,4,1,0,3,4,4,7,85220000.0,236920000.0
20003386626,1,1,0,68.0,1.0,0.0,2,1,1,22,3,4,4,80.0,3.0,4,0,0,3,4,4,4,147740000.0,495000000.0
20003386627,1,0,1,70.0,0.0,0.0,6,1,3,22,3,0,3,60.0,3.0,4,0,0,3,4,4,4,28135000.0,315560000.0
20003386632,2,1,1,29.0,1.0,0.0,3,4,1,22,3,0,4,100.0,3.0,3,0,0,3,4,4,7,99360000.0,180920000.0
20003386635,3,2,1,61.66666666666666,0.3333333333333333,0.0,6,4,1,22,3,4,5,120.0,3.0,7,0,0,3,4,4,3,125218164.0,156420000.0
