Address,total_income
20009392913,417450000.0
20009392914,860520000.0
20009392920,596380000.0
20009392923,698030000.0
20009393008,454380000.0
20009393011,164380000.0
20009393015,65920000.0
20009393017,10920000.0
20009393020,136380000.0
20009393023,578420000.0
20009393109,147380000.0
20009393112,43460000.0
20009393114,106920000.0
20009393118,202920000.0
20009393120,106760000.0
20009393123,10920000.0
20009393208,58180000.0
20009393211,139880000.0
20009393213,33460000.0
20009393216,68380000.0
20009393220,76920000.0
20009393223,121920000.0
20009393307,159030000.0
20009393308,335950000.0
20009393317,260920000.0
20009393318,101520000.0
20009393320,176420000.0
20009393323,231960000.0
20010393407,565800000.0
20010393411,23920000.0
20010393414,75320000.0
20010393415,217240000.0
20010393420,302380000.0
20010393423,163820000.0
20010393508,128380000.0
20010393511,52520000.0
20010393514,256380000.0
20010393516,455860000.0
20010393520,722380000.0
20010393523,493670000.0
20010393608,287840000.0
20010393611,29300000.0
20010393614,156380000.0
20010393617,47920000.0
20010393620,223720000.0
20010393623,506880000.0
20010393707,265120000.0
20010393708,17460000.0
20010393716,15120000.0
20010393718,531200000.0
20010393720,50920000.0
20010393723,51260000.0
20010393808,186920000.0
20010393810,400300000.0
20010393813,27580000.0
20010393818,38440000.0
20010393820,362380000.0
20010393823,277300000.0
20010393907,324570000.0
20010393908,214060000.0
20010393914,145460000.0
20010393917,51380000.0
20010393920,315580000.0
20010393923,21840000.0
20010394020,10920000.0
20010394023,190920000.0
20010394110,77910000.0
20010394111,33450000.0
20010394114,865490000.0
20010394117,20490000.0
20010394120,275300000.0
20010394123,19140000.0
20010394208,244760000.0
20010394211,131920000.0
20010394214,676580000.0
20010394217,657300000.0
20010394220,241920000.0
20010394223,126300000.0
20010394307,195300000.0
20010394310,557120000.0
20010394314,221840000.0
20010394315,21840000.0
20010394320,210780000.0
20010394323,16380000.0
20010394411,71950000.0
20010394412,244920000.0
20011394507,154840000.0
20011394508,50670000.0
20011394514,166920000.0
20011394517,27000000.0
20011394520,416380000.0
20011394523,477020000.0
20011394608,440040000.0
20011394611,388450000.0
20011394613,329240000.0
20011394614,246840000.0
20011394620,118240000.0
20011394623,148580000.0
20011394708,59280000.0
20011394711,34380000.0
20011394714,75880000.0
20011394717,22340000.0
20011394720,48920000.0
20011394723,49800000.0
20011394807,134040000.0
20011394811,626380000.0
20011394813,40980000.0
20011394817,60040000.0
20011394820,71380000.0
20011394823,160840000.0
20011394910,246400000.0
20011394911,270380000.0
20011394914,102260000.0
20011394915,1263380000.0
20011394920,874540000.0
20011394923,205140000.0
