Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
10218032814,3,1,2,29.0,1.0,0.3333333333333333,5,4,1,23,18,4,5,100.0,2,4,1,0,3,2,3,10,279730100.0,6000000.0
10218032817,3,1,2,29.0,1.0,0.3333333333333333,9,4,1,23,18,4,4,120.0,2,4,0,0,3,2,3,7,67164500.0,381380000.0
10218032820,2,1,1,41.5,1.0,0.0,3,4,1,23,18,4,5,110.0,3,2,1,0,3,2,3,7,191644571.0,160380000.0
10218032823,4,2,2,20.0,0.75,0.25,0,4,1,23,18,4,5,110.0,3,2,1,0,3,2,3,8,207927000.0,224940000.0
10218032908,4,2,2,26.0,1.0,0.5,2,3,1,23,18,4,6,110.0,3,2,1,0,3,2,3,7,139371000.0,45440000.0
10218032910,4,1,3,33.25,1.0,0.5,3,3,1,23,18,4,4,80.0,3,2,1,0,3,2,3,10,159219521.0,453660000.0
10218032914,4,1,3,19.5,0.75,0.25,1,4,1,23,18,4,5,100.0,2,4,1,0,3,2,3,7,120059194.0,282160000.0
10218032923,3,2,1,40.333333333333336,1.0,0.0,3,4,1,23,18,4,4,115.0,3,4,0,0,3,2,3,8,59240500.0,200512048.0
10218033008,3,2,1,48.0,1.0,0.0,1,4,1,23,18,4,5,215.0,3,2,1,0,3,2,3,9,637510076.0,781080000.0
10218033011,1,0,1,69.0,0.0,0.0,6,2,1,23,18,5,3,70.0,2,4,0,0,3,2,3,5,15348500.0,95460000.0
10218033014,4,2,2,27.75,0.75,0.0,9,4,1,23,18,4,3,70.0,2,4,0,1,3,2,3,6,283952000.0,56840000.0
10218033017,5,2,3,20.2,0.6,0.2,2,5,2,23,18,4,4,85.0,2,4,0,0,3,2,3,7,99896000.0,37300000.0
10218033023,3,2,1,41.66666666666666,1.0,0.0,3,4,1,23,18,4,3,90.0,3,2,0,0,3,2,3,6,493173284.0,313430000.0
10219033108,4,1,3,17.75,0.75,0.25,2,4,1,23,19,4,3,60.0,3,1,1,0,3,2,3,5,167790306.0,23540000.0
10219033111,2,1,1,22.5,1.0,0.0,2,4,1,23,19,1,4,110.0,3,4,0,0,3,2,3,8,76792000.0,10920000.0
10219033117,4,3,1,24.0,1.0,0.5,9,3,1,23,19,4,4,109.0,2,4,0,1,3,2,3,9,76325285.0,371840000.0
10219033118,3,1,2,39.333333333333336,1.0,0.3333333333333333,9,4,1,23,19,4,3,105.0,3,4,1,0,3,2,3,9,238482999.0,267980000.0
10219033120,4,2,2,18.5,0.5,0.0,2,5,1,23,19,5,3,60.0,3,4,0,0,3,2,3,7,38008498.0,168100000.0
10219033123,2,1,1,49.5,0.5,0.0,0,4,1,23,19,4,4,95.0,2,4,1,0,3,2,3,8,271369000.0,12640000.0
10219033208,3,1,2,40.0,1.0,0.0,2,1,1,23,19,4,3,90.0,3,4,0,0,3,2,3,7,45703498.0,67760000.0
10219033214,3,2,1,26.666666666666668,1.0,0.3333333333333333,9,4,1,23,19,4,5,120.0,2,4,0,0,3,2,3,7,86925000.0,17760000.0
10219033220,3,2,1,44.333333333333336,1.0,0.0,3,1,1,23,19,4,4,110.0,1,4,0,1,3,2,3,8,105215383.0,17760000.0
10219033223,2,1,1,76.5,0.5,0.0,3,1,1,23,19,4,3,80.0,3,4,0,0,3,2,3,6,37430599.0,97370000.0
10219033308,4,2,2,19.75,0.75,0.25,0,4,1,23,19,4,4,95.0,1,4,0,0,3,2,3,7,225581000.0,16380000.0
10219033309,4,2,2,25.75,1.0,0.5,9,3,1,23,19,4,4,98.0,1,4,0,0,3,2,3,7,235073571.0,25280000.0
10219033317,4,2,2,44.25,1.0,0.25,2,4,1,23,19,4,4,120.0,2,4,1,0,3,2,3,8,810837685.0,687280000.0
10219033320,3,2,1,45.66666666666666,0.6666666666666666,0.0,0,4,1,23,19,4,5,200.0,1,4,0,0,3,2,3,10,81757164.0,259140000.0
